Šifra,Oznaka,Naziv dijagnoze,Latinski naziv dijagnoze
6408,O072,"Neuspeo medicinski pobačaj, komplikovan začepljenjem krvnog suda",Abortus medicalis inefficax propter emboliam complicatus
6409,O073,"Neuspeo medicinski pobačaj, sa drugim i neoznačenim komplikacijama","Abortus medicalis inefficax,cum complicationibus aliis et non specificatus"
6410,O074,"Neuspeo medicinski pobačaj, bez komplikacija","Abortus medicalis inefficax,sine complicationibus"
6411,O075,Drugi (neoznačen) neuspeo pobačaj komplikovan zbog infekcije polnih organa i kar,Abortus inefficax propter infectionem tractus genitalis et pelvis complicatus al
6412,O076,"Drugi neuspeo pokušaj pobačaja, komplikovan zbog kasnog ili obilnog krvarenja",Abortus temptatus inefficax propter haemorrhagiam retardatam gravem complicatus
6413,O077,Drugi neoznačen neuspeo pokušaj pobačaja komplikovan zbog začepljenja krvnog sud,"Abortus temptatus inefficax propter emboliam complicatus alius, non specificatus"
6414,O078,Drugi neoznačen neuspeo pokušaj pobačaja sa komplikacijama,"Abortus temptatus inefficax cum complicatus alius, non specificatus"
6415,O079,"Drugi neuspeo pokušaj pobačaja bez komplikacija, neoznačen","Abortus temptatus inefficax sine complicationibus alius, non specificatus"
6416,O08,"Komplikacije posle pobačaja, vanmaterične i molarne trudnoće","Complicationes post abortum,graviditatem ectopicam et molarem"
6417,O080,"Infekcija polnih organa i karlice posle pobačaja, vanmaterične i molarne trudnoć","Infectio tractus genitalis et pelvis post abortum, graviditatem ectopicam et mol"
6418,O081,"Kasno ili obilno krvarenje posle pobačaja, vanmaterične i molarne trudnoće","Haemorrhagia retardata sive gravis post abortum, graviditatem ectopicam et molar"
6419,O082,"Začepljenje krvnog suda posle pobačaja, vanmaterične i molarne trudnoće","Embolia post abortum, graviditatem ectopicam et molarem"
6420,O083,"Šok posle pobačaja, vanmaterične i molarne trudnoće","Afflictus (shock) post abortum, graviditatem ectopicam et molarem"
6421,O084,"Nedovoljna funkcija bubrega posle pobačaja, vanmaterične i molarne trudnoće","Insufficientia renalis post abortum, graviditatem ectopicam et molarem"
6422,O085,"Poremećaji metabolizma posle pobačaja, vanmaterične i molarne trudnoće","Disordines metabolismi post abortum, graviditatem ectopicam et molarem"
6423,O086,"Oštećenje organa i tkiva karlice posle pobačaja, vanmaterične i molarne trudnoće","Laesio organorum et textus pelvis post abortum, graviditatem ectopicam et molare"
6424,O087,"Druge komplikacije vena posle pobačaja, vanmaterične i molarne trudnoće","Complicationes venarum post abortum, graviditatem ectopicam et molarem, aliae"
6425,O088,"Druge komplikacije posle pobačaja, vanmaterične i molarne trudnoće","Complicationes post abortum,graviditatem ectopicam et molarem, aliae"
6426,O089,"Komplikacija posle pobačaja, vanmaterične i molarne trudnoće, neoznačena","Complicatio post abortum,graviditatem ectopicam et molarem, non specificata"
6427,O10,"Ranije postojeći povišen krvni pritisak komplikovan u toku trudnoće, porođaja i","Hypertensio arterialis praeexistens per graviditatem, partum et puerperium compl"
6428,O100,"Ranije postojeći primarni povišen krvni pritisak komplikovan u toku trudnoće, po","Hypertensio arterialis essentialis praeexistens, per graviditatem, partum et pue"
6429,O101,"Ranije postojeća bolest srca komplikovana u toku trudnoće, porođaja i babinja","Morbus cardiacus hypertensivus praeexistens, per graviditatem, partum et puerper"
6430,O102,"Ranije postojeće bolest bubrega komplikovana u toku trudnoće, porođaja i babinja","Morbus renalis hypertensivus praeexistens, per graviditatem, partum et puerperiu"
6431,O103,"Ranije postojeća bolest srca i bubrega komplikovana u toku trudnoće, porođaja i","Morbus cardiacus et renalis hypertensivus praeexistens, per graviditatem, partum"
6432,O104,"Ranije postojeći sekundarni povišen krvni pritisak, komplikovan u toku trudnoće,","Hypertensio arterialis secundaria praeexistens, per graviditatem, partum et puer"
6433,O109,"Neoznačen ranije postojeći povišen krvni pritisak komplikovan u toku trudnoće, p","Hypertensio arterialis praeexistens, per graviditatem, partum et puerperium comp"
6434,O11,Povišen krvni pritisak pre trudnoće sa pojavom belančevine u mokraći,Hypertensio arterialis ante graviditatem cum proteinuria sequenti
6435,O12,Otok i belančevina u mokraći u toku trudnoće bez povišenog krvnog pritiska,Oedema et proteinuria in graviditate sine hypertensione arteriali
6436,O120,Otok u trudnoći,Oedema in graviditate
6437,O121,Belančevina u mokraći tokom trudnoće,Proteinuria per graviditatem
6438,O122,Otok i belančevina u mokraći tokom trudnoće,Oedema et proteinuria per graviditatem
6439,O13,Povišen krvni pritisak u toku trudnoće bez belančevine u mokraći,Hypertensio arterialis in graviditate sine proteinuria
6440,O14,"Preeklampsija - povišen krvni pritisak, otoci i belančevine u mokraći u trudnoći",Praeeclampsia
6441,O140,Umerena preeklampsija,Praeeclampsia moderata
6442,O141,Teška preeklampsija,Praeeclampsia severa
6443,O149,"Preeklampsija,neoznačena","Praeeclampsia,non specificata"
6444,O15,"Eklampsija - povišen krvni pritisak, grčevi i belančevine u mokraći u trudnoći",Eclampsia
6445,O150,Eklampsija u trudnice,Eclampsia gravidae
6446,O151,Eklampsija u toku porođaja,Eclampsia partualis
6447,O152,Eklampsija u babinjama,Eclampsia in puerperio
6448,O153,"Eklampsija,neoznačena","Eclampsia,non specificata"
6449,O16,"Povišen krvni pritisak majke,neoznačen","Hypertensio arterialis matris,non specificata"
6450,O20,Krvarenje u početnoj trudnoći,Haemorrhagia in graviditate initiali
6451,O200,Preteći pobačaj,Abortus imminens
6452,O208,Drugo krvarenje u početnoj trudnoći,Haemorrhagia in graviditate initiali alia
6453,O209,"Krvarenje u početnoj trudnoći,neoznačeno","Haemorrhagia in graviditata initiali, non specificata"
6454,O21,Prekomerno povraćanje trudnice,Hyperemesis gravidae
6455,O210,Umereno povraćanje trudnice,Hyperemesis gravidae mitis
6456,O211,Prekomerno povraćanje trudnice sa poremećajem metabolizma,Hyperemesis gravidae cum disordine metabolico
6457,O212,Kasno povraćanje trudnice,Vomitus gravidae tardus
6458,O218,"Drugo prekomerno povraćanje trudnice, sa komplikacijama",Hyperemesis gravidae complicans alia
6459,O219,"Prekomerno povraćanje trudnice,neoznačeno","Hyperemesis gravidae,non specificata"
6460,O22,Komplikacije vena u trudnice,Complicationes venarum gravidae
6461,O220,Proširene vene nogu trudnice,Varices extremitatis inferioris gravidae
6462,O221,Proširene vene polnih organa trudnice,Varices genitaliorum gravidae
6463,O222,Površinsko zapaljenje vena sa zgrušavanjem krvi trudnice,Thrombophlebitis gravidae superficialis
6464,O223,Duboko zapaljenje vena sa zgrušavanjem krvi trudnice,Thrombophlebitis gravidae profunda
6465,O224,Šuljevi i trudnice,Haemorrhoides gravidae
6466,O225,Zgrušavanje krvi vena mozga u trudnice,Thrombosis venarum cerebri gravidae
6467,O228,Druge komplikacije vena u trudnice,Complicationes venarum gravidae aliae
6468,O229,"Komplikacija vena u trudnice,neoznačena","Complicatio venarum gravidae,non specificata"
6469,O23,Infekcije mokraćno-polnih puteva u trudnoći,Infectiones tractus urogenitalis in graviditate
6470,O230,Zapaljenje bubrega u trudnoći,Pyelonephritis in graviditate
6471,O231,Zapaljenje mokraćne bešike u trudnoći,Cystitis in graviditate
6472,O232,Zapaljenje mokraćovoda bubrega u trudnoći,Urethritis in graviditate
6473,O233,Infekcije drugih delova mokraćnih puteva u trudnoći,Infectiones partium tractus urinarii aliarum in graviditate
6474,O234,Neoznačene infekcije mokraćnih puteva u trudnoći,"Infectiones tractus urinarii in graviditate, non specificatae"
6475,O235,Infekcije polnih organa u trudnoći,Infectiones tractus genitalis in graviditate
6476,O239,Druga i neoznačena infekcija mokraćno-polnih puteva u trudnoći,Infectio tractus urogenitalis in graviditate alia et non specificata
6477,O24,Šećerna bolest u trudnoći,Diabetes mellitus in graviditate
6478,O240,"Ranije postojeća šećerna bolest, insulin-zavisna","Diabetes mellitus praeexistens,insulinum - dependens"
6479,O241,"Ranije postojeća šećerna bolest, insulin-nezavisna","Diabetes mellitus praeexistens,non insulinum- dependens"
6480,O242,Ranije postojeća šećerna bolest uzrokovana nedovoljnom ishranom,Diabetes mellitus praeexistens malnutritionalis
6481,O243,"Ranije postojeća šećerna bolest, neoznačena","Diabetes mellitus praeexistens,non specificatus"
6482,O244,Šećerna bolest nastala u trudnoći,Diabetes mellitus in graviditate ortus
6483,O249,"Šećerna bolest u trudnoći, neoznačena","Diabetes mellitus in graviditate,non specificatus"
6484,O25,Nedovoljna ishrana trudnice,Malnutritio gravidae
6485,O26,Druge bolesti trudnice,Morbi gravidae alii
6486,O260,Prevelik porast telesne težine u trudnoći,Auctus ponderis corporalis in graviditate enormis
6487,O261,Mali porast telesne težine u trudnoći,Auctus ponderis corporalis in graviditate parvus
6488,O262,Briga o ženi koja je imala spontane pobačaje,Curatio feminae cum abortibus habitualibus antecedentibus
6489,O263,Zadržana kontracepcijska spirala u trudnoći,Spira contraceptiva intrauterina in graviditate retenta
6490,O264,Herpes u trudnoći,Herpes gestationalis
6491,O265,Snižen krvni pritisak trudnice,Hypotensio arterialis gravidae
6492,O266,"Poremećaji jetre u trudnoći, porođaju i babinjama","Disordines hepatis in graviditate, partu et puerperio"
6493,O267,"Nepotpuno iščašenje stidne kosti u trudnoći, porođaju i babinjama","Subluxatio pubis in graviditate,partu et puerperio"
6494,O268,Druga označena stanja vezana za trudnoću,"Status cum graviditate conjuncti alii, specificati"
6495,O269,"Stanje vezano za trudnoću,neoznačeno","Status cum graviditate conjunctus,non specificatus"
6496,O28,Nenormalni nalazi u majke otkriveni pretporođajnom kontrolom,"Status matris abnormales,proba antenatali detecti"
6497,O280,Nenormalan hematološki nalaz u majke otkriven pretporođajnom kontrolom,"Status haematologicus matris abnormalis, proba antenatali detectus"
6498,O281,Nenormalan biohemijski nalaz u majke otkriven pretporođajnom kontrolom,"Status biochemicus matris abnormalis, proba antenatali detectus"
6499,O282,Nenormalan citološki nalaz u majke otkriven pretporođajnom kontrolom,"Status cytologicus matris abnormalis, proba antenatali detectus"
6500,O283,Nenormalan ultrazvučni nalaz u majke otkriven pretporođajnom kontrolom,"Status ultrasonorus matris abnormalis, proba entenatali detectus"
6501,O284,Nenormalan radiološki nalaz u majke otkriven pretporođajnom kontrolom,"Status radiologicus matris abnormalis, proba antenatali detectus"
6502,O285,Nenormalan hromosomski i genetski nalaz otkriven pretporođajnom kontrolom,"Status chromosomaticus et geneticus abnormalis, proba antenatali detectus"
6503,O288,Drugi nenormalan nalaz u majke otkriven pretporođajnom kontrolom,"Status matris abnormalis,proba antenatali detectus, alius"
6504,O289,"Nenormalan nalaz u majke otkriven pretporođajnom kontrolom, neoznačen","Status matris abnormalis,proba antenatali detectus, non specificatus"
6505,O29,Komplikacije uzrokovane davanjem anestezije tokom trudnoće,"Complicationes anaesthesionales,per graviditatem"
6506,O290,Komplikacije pluća uzrokovane davanjem anestezije tokom trudnoće,"Complicationes pulmonales anaesthesionales, per graviditatem"
6507,O291,Komplikacije srca uzrokovane davanjem anestezije tokom trudnoće,"Complicationes cardiacae anaesthesionales, per graviditatem"
6508,O292,Komplikacije centralnog nervnog sistema uzrokovane davanjem anestezije tokom tru,"Complicationes systematis nervosi centralis anaesthesionales, per graviditatem"
6509,O293,Toksička reakcija na lokalnu anesteziju tokom trudnoće,"Reactio toxica in anaesthesiam localem, per graviditatem"
6510,O294,Glavobolja zbog lumbalne i epiduralne anestezije tokom trudnoće,"Cephalea propter anesthesiam spinalem et epiduralem, per graviditatem"
6511,O295,Druge komplikacije uzrokovane davanjem lumbalne i epiduralne anestezije tokom tr,"Complicationes propter anaesthesiam spinalem et epiduralem, per graviditatem, al"
6512,O296,Neuspela ili sa terškoćom urađena intubacija tokom trudnoće,"Intubatio inefficax sive difficile facta, per graviditatem"
6513,O298,Druge komplikacije uzrokovane davanjem anestezije tokom trudnoće,"Complicationes anaesthesionales,per graviditatem, aliae"
6514,O299,"Komplikacija uzrokovana anestezijom tokom trudnoće, neoznačena","Complicatio anaesthesionalis,per graviditatem, non specificata"
6515,O30,Višeplodna trudnoća,Graviditas plurifetalis
6516,O300,Bliznačka trudnoća,Graviditas duplex
6517,O301,Troplodna trudnoća,Graviditas triplex
6518,O302,Četvoroplodna trudnoća,Graviditas quadriplex
6519,O303,Druga višeplodna trudnoća,Graviditas plurifetalis alia
6520,O309,"Višeplodna trudnoća,neoznačena","Graviditas plurifetalis,non specificata"
6521,O31,Komplikacije višeplodne trudnoće,Complicationes graviditatis plurifetalis
6522,O310,Papirasti plod,Fetus papyraceus
6523,O311,Nastavak trudnoće posle pobačaja jednog ili više plodova,Graviditas post abortum unius sive fetuum plurium contiunata
6524,O312,Nastavak trudnoće posle smrti jednog ili više plodova u materici,Graviditas post mortem intrauterinam unius sive fetuum plurium contiunata
6525,O318,Druge označene komplikacije višeplodne trudnoće,"Complicationes in graviditatis plurifetali aliae, specificatae"
6526,O32,Briga o majci kod poznatog ili sumnjivog nepravilnog stava ploda,Curatio matris ad malpraesentationem fetus notam sive suspectam
6527,O320,Briga o majci kod nestabilnog položaja ploda,Curatio matris ad positionem fetus instabilem
6528,O321,Briga o majci kod prednjačenja ploda karlicom,Curatio matris ad praesentationem fetus pelvicam
6529,O322,Briga o majci kod poprečnog i kosog položaja ploda,Curatio matris ad positionem fetus transversam et obliquam
6530,O323,"Briga o majci kod prednjačenja ploda licem,čelom i bradom","Curatio matris ad praesentationem fetus facie,fronte et mento"
6531,O324,Briga o majci kod položaja glave ploda visokog za termin,Curatio matris ad positionem capitis fetus altam in relatione ad terminum
6532,O325,Briga o majci kod višeplodne trudnoće sa nepravilnim stavom jednog ili više plod,Curatio matris ad graviditatem plurifetalem cum malpraesentatione unius sive fet
6533,O326,Briga o majci kod složenog nepravilnog stava ploda,Curatio matris ad malpraesentationem fetus compositam
6534,O328,Briga o majci kod drugog nepravilnog stava ploda,Curatio matris ad malpraesentationem fetus aliam
6535,O329,"Briga o majci kod nepravilnog stava ploda,neoznačen","Curatio matris ad malpraesentationem fetus,non specificata"
6536,O33,Briga o majci kod poznate ili sumnjive disproporcije,Curatio matris ad disproportionem notam sive suspectam
6537,O330,Briga o majci kod disproporcije usled deformacije kostiju karlice,Curatio matris ad disproportionem propter deformationem ossium pelvicorum
6538,O331,Briga o majci kod disproporcije usled opšteg suženja karlice,Curatio matris ad disproportionem propter contractionem pelvis totalem
6539,O332,Briga o majci kod disproporcije usled suženja ulaza u karlicu,Curatio matris ad disproportionem propter contractionem aditus pelvis
6540,O333,Briga o majci kod disproporcije usled suženja izlaza karlice,Curatio matris ad disproportionem propter contractionem exitus pelvis
6541,O334,Briga o majci kod disproporcije porekla od majke i ploda,Curatio matris ad disproportionem matris et fetus
6542,O335,Briga o majci kod disproporcije usled neuobičajeno velikog ploda,Curatio matris ad disproportionem propter fetum inusitate magnum
6543,O336,Briga o majci kod disproporcije usled vodene glave ploda,Curatio matris ad disproportionem propter fetum hydrocephalicum
6544,O337,Briga o majci kod disproporcije usled druge deformacije ploda,Curatio matris ad disproportionem propter deformationem fetalem aliam
6545,O338,Briga o majci kod disproporcije usled drugih uzroka,Curatio matris ad disproportionem propter causas alias
6546,O339,"Briga o majci kod disproporcije,neoznačen","Curatio matris ad disproportionem,non specificata"
6547,O34,Briga o majci kod poznatih ili sumnjivih nenormalnosti organa karlice,Curatio matris ad abnormitates organorum pelvicorum notas sive suspectas
6548,O340,Briga o majci kod urođene anomalije materice,Curatio matris ad malformationem uteri congenitam
6549,O341,Briga o majci kod tumora tela materice,Curatio matris ad tumorem corporis uteri
6550,O342,Briga o majci kod ožiljka materice od ranije operacije,Curatio matris ad cicatricem uterinam operatione praecedenti factam
6551,O343,Briga o majci kod nedovoljne funkcije grlića materice,Curatio matris ad insufficientiam cervicis
6552,O344,Briga o majci kod drugih nenormalnosti grlića materice,Curatio matris ad abnormitates cervicis alias
6553,O345,Briga o majci kod drugih nenormalnosti materice trudnice,Curatio matris ad abnormitates uteri gravidae alias
6554,O346,Briga o majci kod nenormalnosti rodnice,Curatio matris ad abnormalitatem vaginae
6555,O347,Briga o majci kod nenormalnosti stidnice i međice,Curatio matris ad abnormitatem vulvae et perinaei
6556,O348,Briga o majci kod drugih nenormalnosti organa karlice,Curatio matris ad abnormitates organorum pelvicorum alias
6557,O349,"Briga o majci kod nenormalnosti organa karlice,neoznačen","Curatio matris ad abnormalitates organorum pelvicorum,non specificata"
6558,O35,Briga o majci kod poznatih ili sumnjivih nenormalnosti i oštećenja ploda,Curatio matris ad abnormitates et laesiones fetus notas sive suspectas
6559,O350,Briga o majci sa sumnjivim nakaznostima centralnog nervnog sistema ploda,Curatio matris ad malformationem systematis nervosi centralis fetus suspectam
6560,O351,Briga o majci kod sumnje na urođeni hromosomski poremećaj ploda,Curatio matris ad disordinem hromosomatosum(suspectum)
6561,O352,Briga o majci kod sumnje na urodjenu bolest ploda,Curatio matris ad morbum fetus hereditarium suspectum
6562,O353,Briga o majci kod sumnje na oštećenje ploda infekcijom majke uzrokovanom virusim,Curatio matris ad laesionem fetus infectione matris virali (suspectam)
6563,O354,Briga o majci kod sumnje na oštećenje ploda alkoholom,Curatio matris ad laesionem fetus alcoholicam (suspectam)
6564,O355,Briga o majci kod sumnje na oštećenje ploda lekovima,Curatio matris ad laesionem fetus medicamentosam (suspectam)
6565,O356,Briga o majci kod sumnje na oštećenje ploda zračenjem,Curatio matris ad laesionem fetus radionationalem (suspectam)
6566,O357,Briga o majci kod sumnje na oštećenje ploda drugim medicinskim procedurama,Curatio matris ad laesionem fetus proceduralis medicalibus aliis (suspectam)
6567,O358,Briga o majci kod sumnje na druge nenormalnosti i oštećenja ploda,Curatio matris ad abnormitates et laesiones fetus alias (suspectas)
6568,O359,"Briga o majci kod sumnje na nenormalnosti i oštećenja fetusa,neoznačen","Curatio matris ad abnormitates et laesiones fetus (suspectas),non specificata"
6569,O36,Briga o majci kod drugih poznatih ili sumnjivih problema ploda,Curatio matris ad problemata fetus nota sive suspecta alia
6570,O360,Briga o majci kod rezus-izoimunizacije,Curatio matris ad rhesus-isoimmunisationem
6571,O361,Briga o majci kod druge izoimunizacije,Curatio matris ad isoimmunisationem aliam
6572,O362,Briga o majci sa vodenim plodom,Curatio matris cum hydrope fetali
6573,O363,Briga o majci kod znakova hipoksije ploda,Curatio matris ad signa hypoxiae fetalis
6574,O364,Briga o majci kod smrti ploda u materici,Curatio matris ad mortem intrauterinam
6575,O365,Briga o majci kod slabog rasta ploda,Curatio matris ad staturam fetalem parvam
6576,O366,Briga o majci kod prevelikog rasta ploda,Curatio matris ad staturam fetalem magnam
6577,O367,Briga o majci kod živog ploda u trbušnoj trudnoći,Curatio matris ad fetum vivum in graviditate abdominali
6578,O368,Briga o majci kod drugih označenih problema sa plodom,"Curatio matris ad problemata fetalia alia,specificata"
6579,O369,Briga o majci kod neoznačenih problema sa plodom,"Curatio matris ad problemata fetalia,non specificata"
6580,O40,Prevelika količina amnionske tečnosti,Polyhydramnion
6581,O41,Drugi poremećaji amnionske tečnosti i vodenjaka,Disordines liquoris et membranarum amnii alii
6582,O410,Smanjena količina amnionske tečnosti,Oligohydramnion
6583,O411,Infekcija amnionske tečnosti i vodenjaka,Infectio liquoris et membranarum amnii
6584,O418,"Drugi poremećaji amnionske tečnosti i vodenjaka,označeni",Disordines liquoris et membranarum amnii alii specificati
6585,O419,"Poremećaj amnionske tečnosti i vodenjaka,neoznačen","Disordo liquoris et membranarum amnii,non specificatus"
6586,O42,Prerano prskanje vodenjaka,Ruptura membranarum amnii praematura
6587,O420,"Prerano pucanje vodenjaka,početak porođaja u toku 24 časa","Ruptura membranarum amnii praematura,initium partus per 24 horas"
6588,O421,"Prerano prskanje vodenjaka,početak porođaja posle 24 časa","Ruptura membranarum amnii praematura,initium partus post 24 horas"
6589,O422,"Prerano prskanje vodenjaka,porođaj odložen terapijom","Ruptura membranarum amnii praematura,partus therapia prolongatus"
6590,O429,"Prerano prskanje vodenjaka,neoznačeno","Ruptura membranarum amnii praematura,non specificata"
6591,O43,Bolesti posteljice,Morbi placentae
6592,O430,Sindrom posteljične transfuzije,Syndroma transfusionis placentalis
6593,O431,Deformacija posteljice,Malformatio placentae
6594,O438,Druge bolesti posteljice,Morbi placentae alii
6595,O439,"Bolest posteljice,neoznačena","Morbus placentae,non specificatus"
6596,O44,Nisko usađena posteljica,Placenta praevia
6597,O440,Nisko usađena posteljica bez krvarenja,Placenta praevia sine haemorrhagia
6598,O441,Nisko usađena posteljica sa krvarenjem,Placenta praevia cum haemorrhagia
6599,O45,Prerano odlubljivanje posteljice,Abruptio placentae praematura
6600,O450,Prerano odlubljivanje posteljice sa poremećajem zgrušnjavanja krvi,Abruptio placentae cum defectu coagulationis
6601,O458,Drugo prerano odlubljivanje posteljice,Abruptio placentae praematura alia
6602,O459,"Prerano odlubljivanje posteljice,neoznačeno","Abruptio placentae praematura,non specificata"
6603,O46,Krvarenje pre porođaja,Haemorrhagia ante partum
6604,O460,Krvarenje pre porođaja sa poremećajem zgrušavanja krvi,Haemorrhagia ante partum cum defectu coagulationis
6605,O468,Drugo krvarenje pre porođaja,Haemorrhagia ante partum alia
6606,O469,"Krvarenje pre porođaja,neoznačeno","Haemorrhagia ante partum,non specificata"
6607,O47,Lažni porođaj,Partus spurius
6608,O470,Lažni porođaj pre punih 37 nedelja trudnoće,Partus spurius ante 37 setimanas graviditatis completas
6609,O471,Lažni porođaj u toku ili posle punih 37 nedelja trudnoće,Partus spurius per sive post 37 setimanas graviditatis completas
6610,O479,"Lažni porođj,neoznačen","Partus spurius,non specificatus"
6611,O48,Produžena trudnoća,Graviditas prolongata
6612,O60,Prevremeni porođaj,Partus praematurus
6613,O61,Neuspela indukcija porođaja,Inductio partus inefficax
6614,O610,Neuspela indukcija porođaja lekovima,Inductio partus medicalis inefficax
6615,O611,Neuspela indukcija porođaja instrumentima,Inductio partus instrumentalis inefficax
6616,O618,Druga neuspela indukcija porođaja,Inductio partus inefficax alia
6617,O619,"Neuspela indukcija porođaja,neoznačena","Inductio partus inefficax,non specificata"
6618,O62,Nenormalnosti porođaja,Abnormitates partus
6619,O620,Primarne nedovoljne kontrakcije materice,Contractiones uteri primariae inadaequatae
6620,O621,Sekundarna lenjost materice,Inertia uteri secundaria
6621,O622,Druga lenjost materice,Inertia uteri alia
6622,O623,Nagli porođaj,Partus praeceps
6623,O624,"Snažne,nekoordinirane i produžene kontrakcije materice","Contractiones uteri hypertonicae,incoordinatae et prolongatae"
6624,O628,Druge nenormalnosti porođaja,Abnormitates partus aliae
6625,O629,"Nenormalan porođaj,neoznačen","Abnormitas partus,non specificata"
6626,O63,Produžen porođaj,Partus prolongatus
6627,O630,Produžena prva faza porođaja,"Partus prolongatus,phasis prima"
6628,O631,Produžena druga faza porođaja,"Partus prolongatus,phasis secunda"
6629,O632,"Kasno rođenje drugog,trećeg itd.ploda","Partus gemini secundi,tertii et tardivus"
6630,O639,"Produžen porođaj, neoznačen","Partus prolongatus,non specificatus"
6631,O64,Komplikovan porođaj zbog nepravilnog položaja i stava ploda,Partus propter malpositionem et malpraesentationem fetus complicatus
6632,O640,Komplikovan porođaj zbog nepotpune rotacije glave ploda,Partus propter rotationem capitis fetus incompletam complicatus
6633,O641,Sprečen porođaj zbog prednjačenja karlice,Partus propter praesentationem pelvis obstruens
6634,O642,Komplikovan porođaj zbog prednjačenja lica,Partus propter praesentationem faciei complicatus
6635,O643,Komplikovan porođaj zbog prednjačenja čela,Partus propter praesentationem frontis complicatus
6636,O644,Komplikovan porođaj zbog prednjačenja ramena,Partus propter praesentationem omae complicatus
6637,O645,"Komplikovan porođaj zbog složenog prednjačenja (šaka,stopala)","Partus propter praesentationem (manuum,pedum) compositam complicatus"
6638,O648,Komplikovan porođaj zbog drugog nepravilnog položaja i stava ploda,Partus propter malpositionem et malpraesentationem fetus aliam complicatus
6639,O649,"Komplikovan porođaj zbog nepravilnog položaja i stava ploda,neoznačen","Partus propter malpositionem et malpraesentationem fetus complicatus,non specifi"
6640,O65,Komplikovan porođaj zbog nenormalnosti karlice majke,Partus propter pelvem matris abnormalem complicatus
6641,O650,Komplikovan porođaj zbog deformisane karlice,Partus propter pelvem deformatam complicatus
6642,O651,Komplikovan porođaj zbog ukupnog suženja karlice,Partus propter contractionem aditus pelvis totalem complicatus
6643,O652,Komplikovan porođaj zbog suženja ulaza karlice,Partus propter contractionem aditus pelvis complicatus
6644,O653,Komplikovan porođaj zbog suženja izlaza i srednjeg dela karlice,Partus propter contractionem orificil et cavitatis mediae complicatus
6645,O654,Komplikovan porođaj zbog neoznačene disproporcije ploda i karlice,"Partus propter disproportionem fetopelvicam,non specificatam complicatus"
6646,O655,Komplikovan porođaj zbog nenormalnosti organa karlice majke,Partus propter abnormitatem organorum pelvis matris complicatus
6647,O658,Komplikovan porođaj zbog drugih nenormalnosti karlice majke,Partus propter abnormitates pelvis matris alias complicatus
6648,O659,"Komplikovan porođaj zbog nenormalnosti karlice majke,neoznačen","Partus propter abnormitatem pelvis matris complicatus,non specificatam"
6649,O66,Drugi komplikovan porođaj,Partus complicatus alius
6650,O660,Komplikovan porođaj zbog prolaska ramena,Partus propter dystociam omae complicatus
6651,O661,Komplikovan porođaj zbog poprečnog položaja blizanaca,Partus propter geminos transversos complicatus
6652,O662,Komplikovan porođaj zbog neobično velikog ploda,Partus propter fetum inusitate magnum complicatus
6653,O663,Komplikovan porođ.zbog drugih nenormalnosti ploda,Partus propter abnormitates fetus alias complicatus
6654,O664,"Neuspeo pokušaj porođaja,neoznačen","Conatus partus inefficax,non specificatus"
6655,O665,"Neuspela upotreba vakuum-ekstraktora i forcepsa,neoznačena","Usus vacuum-extractoris et forcipis inefficax,non specificatus"
6656,O668,Drugi označen komplikovan porođaj,"Partus complicatus alius,specificatus"
6657,O669,"Komplikovan porođaj,neoznačen","Partus complicatus,non specificatus"
6658,O67,Porođaj komplikovan zbog krvarenja,Partus propter haemorrhagiam complicatus
6659,O670,Krvarenje u toku porođaja zbog poremećaja zgrušavanja krvi,Haemorrhagia intrapartualis propter defectum coagulationis
6660,O678,Drugo krvarenje u toku porođaja,Haemorrhagia intrapartualis alia
6661,O679,"Krvarenje u toku porođaja,neoznačeno","Haemorrhagia intrapartualis,non specificata"
6662,O68,Porođaj komplikovan zbog gušenja ploda,Partus propter asphyxiam fetus complicatus
6663,O680,Porođaj komplikovan zbog nepravilnosti ritma srca fetusa,Partus propter anomaliam rythmi cardiaci fetalis complicatus
6664,O681,Porođaj komplikovan zbog mekonijuma u amnionskoj tečnosti,Partus propter meconium in fluido amniotico complicatus
6665,O682,Porođaj komplikovan zbog nepravilnog ritma srca fetusa i mekonijuma u amnionskoj,Partus propter rythmum cardiacum irregularem et meconium in fluido amniotico com
6666,O683,Porođaj komplikovan zbog biohemijskih dokaza za stres ploda,Partus propter argumenta biochemica ad violentiam (stress) fetalem complicatus
6667,O688,Porođaj komplikovan zbog drugih dokaza za stres ploda,Partus propter argumenta ad violentiam (stress) fetalem alia complicatus
6668,O689,"Porođaj komplikovan zbog stresa ploda,neoznačen","Partus propter violentiam (stress) fetalem complicatus,non specificatus"
6669,O69,Porođaj komplikovan zbog komplikacija sa pupčanikom,Partus propter complicationes chordae umbilicalis complicatus
6670,O690,Porođaj komplikovan zbog ispada pupčanika,Partus propter prolapsum chordae umbilicalis complicatus
6671,O691,Porođaj komplikovan zbog pupčanika oko vrata,Partus propter chordam umbilicalem collum circumvolventem complicatus
6672,O692,Porođaj komplikovan zbog drugog zapetljavanja pupčanika,Partus propter implicationem chordae umbilicalis aliam complicatus
6673,O693,Porođaj komplikovan zbog kratkog pupčanika,Partus propter chordam umbilicalem brevem complicatus
6674,O694,Porođaj komplikovan zbog isturenih krvnih sudova,Partus propter vasa praevia complicatus
6675,O695,Porođaj komplikovan zbog oštećenja krvnih sud.pupčanika,Partus propter laesionem vascularem chordae umbilicalis complicatus
